ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1313 167.100.185,"Duschwanne Kaldewei Calima, 1200 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 250.100.184,"Duschwanne Kaldewei Conoflat, 100 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,120 x 3.2,,,

1313 593.100.185,"Duschwanne Kaldewei Superplan Zero, 80 x 140 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,140 x 2,,,

1313 259.100.185,"Duschwanne Kaldewei Conoflat, 90 x 160 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,160 x 3.2,,,

1313 433.100.000,"Duschwanne Kaldewei Superplan, 75 x 90 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 2.5,,,

1313 425.100.000,"Duschwanne Kaldewei Cayonoplan, 75 x 160 x 2,5 cm, Stahl, Schallisolierung Weiss",Kaldewei,160 x 2.5,,,

1313 172.100.185,"Duschwanne Kaldewei Calima, 1300 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 136.100.183,"Duschwanne Kaldewei Duschplan, 90 x 110 x 6,5 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,110 x 6.5,,,

1313 428.100.000,"Duschwanne Kaldewei Cayonoplan, 70 x 170 x 2,5 cm, Stahl, Schallisolierung Weiss",Kaldewei,170 x 2.5,,,

1313 589.100.184,"Duschwanne Kaldewei Superplan Zero, 90 x 130 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,130 x 2,,,

1313 603.100.185,"Duschwanne Kaldewei Superplan Zero, 75 x 160 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,160 x 2,,,

1313 456.100.000,"Duschwanne Kaldewei Superplan, 90 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,150 x 2.5,,,

1313 467.100.184,"Duschwanne Kaldewei Superplan, 100 x 170 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,170 x 2.5,,,

